scenario_id,profile_id,attachment_size_kb,repeat,turn,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed
grow-t20,grow,0,1,1,1,f00e9532-1d10-49a1-bf20-228261c5318e,152,0,2,0,0,2180,297,0.000505,5850,none,default,1,1,0
grow-t20,grow,0,1,2,2,f00e9532-1d10-49a1-bf20-228261c5318e,112,0,4,0,0,2564,288,0.000557,4508,none,default,1,1,1
grow-t20,grow,0,1,3,3,f00e9532-1d10-49a1-bf20-228261c5318e,111,0,6,0,0,2944,294,0.000618,5951,none,default,1,1,1
grow-t20,grow,0,1,4,4,f00e9532-1d10-49a1-bf20-228261c5318e,129,0,8,0,0,3327,280,0.000667,4527,none,default,1,1,1
grow-t20,grow,0,1,5,5,f00e9532-1d10-49a1-bf20-228261c5318e,99,0,10,0,0,3697,273,0.000718,5812,none,default,1,1,1
grow-t20,grow,0,1,6,6,f00e9532-1d10-49a1-bf20-228261c5318e,128,0,12,0,0,4057,303,0.00079,6157,none,default,1,1,1
grow-t20,grow,0,1,7,7,f00e9532-1d10-49a1-bf20-228261c5318e,90,0,12,0,343,4449,298,0.000846,6546,none,default,1,1,1
grow-t20,grow,0,1,8,8,f00e9532-1d10-49a1-bf20-228261c5318e,87,0,12,0,531,4549,293,0.000858,4727,none,default,1,1,1
grow-t20,grow,0,1,9,9,f00e9532-1d10-49a1-bf20-228261c5318e,90,0,12,0,672,4609,294,0.000868,5986,none,default,1,1,1
grow-t20,grow,0,1,10,10,f00e9532-1d10-49a1-bf20-228261c5318e,104,0,12,0,807,4756,297,0.000892,4860,none,executive,1,1,1
grow-t20,grow,0,1,11,11,f00e9532-1d10-49a1-bf20-228261c5318e,85,0,12,0,963,4816,286,0.000894,4765,none,executive,1,1,1
grow-t20,grow,0,1,12,12,f00e9532-1d10-49a1-bf20-228261c5318e,88,0,12,0,1044,4872,296,0.000908,5632,none,executive,1,1,1
grow-t20,grow,0,1,13,13,f00e9532-1d10-49a1-bf20-228261c5318e,102,0,12,0,1163,4902,302,0.000916,6551,none,executive,1,1,1
grow-t20,grow,0,1,14,14,f00e9532-1d10-49a1-bf20-228261c5318e,99,0,12,0,1280,4956,300,0.000923,6315,none,executive,1,1,1
grow-t20,grow,0,1,15,15,f00e9532-1d10-49a1-bf20-228261c5318e,69,0,12,0,1464,5006,302,0.000932,4755,none,executive,1,1,1
grow-t20,grow,0,1,16,16,f00e9532-1d10-49a1-bf20-228261c5318e,59,0,12,2,1464,5068,294,0.000937,5166,none,executive,1,1,1
grow-t20,grow,0,1,17,17,f00e9532-1d10-49a1-bf20-228261c5318e,66,0,12,2,1572,5415,306,0.000996,5276,none,executive,1,1,1
grow-t20,grow,0,1,18,18,f00e9532-1d10-49a1-bf20-228261c5318e,86,0,12,2,1602,11970,595,0.002152,10633,none,executive,1,1,1
grow-t20,grow,0,1,19,19,f00e9532-1d10-49a1-bf20-228261c5318e,85,0,12,2,1700,12001,585,0.002151,15804,none,executive,1,1,1
grow-t20,grow,0,1,20,20,f00e9532-1d10-49a1-bf20-228261c5318e,92,0,12,2,1845,5384,292,0.000983,5817,none,executive,1,1,1
grow-t20,grow,0,2,1,1,cffb0ad4-c850-480a-b239-a12719b8f02b,152,0,2,0,0,2180,283,0.000497,4374,none,default,1,1,0
grow-t20,grow,0,2,2,2,cffb0ad4-c850-480a-b239-a12719b8f02b,112,0,4,0,0,2561,289,0.000558,5721,none,default,1,1,1
grow-t20,grow,0,2,3,3,cffb0ad4-c850-480a-b239-a12719b8f02b,111,0,6,0,0,2930,299,0.000619,4713,none,default,1,1,1
grow-t20,grow,0,2,4,4,cffb0ad4-c850-480a-b239-a12719b8f02b,129,0,8,0,0,3319,299,0.000677,5438,none,default,1,1,1
grow-t20,grow,0,2,5,5,cffb0ad4-c850-480a-b239-a12719b8f02b,99,0,10,0,0,3712,283,0.000727,4895,none,default,1,1,1
grow-t20,grow,0,2,6,6,cffb0ad4-c850-480a-b239-a12719b8f02b,128,0,12,0,0,4091,316,0.000803,5690,none,default,1,1,1
grow-t20,grow,0,2,7,7,cffb0ad4-c850-480a-b239-a12719b8f02b,90,0,12,0,495,4513,282,0.000846,5205,none,default,1,1,1
grow-t20,grow,0,2,8,8,cffb0ad4-c850-480a-b239-a12719b8f02b,87,0,12,0,629,4635,271,0.000858,5224,none,default,1,1,1
grow-t20,grow,0,2,9,9,cffb0ad4-c850-480a-b239-a12719b8f02b,90,0,12,0,784,4664,267,0.00086,4343,none,default,1,1,1
grow-t20,grow,0,2,10,10,cffb0ad4-c850-480a-b239-a12719b8f02b,104,0,12,0,903,4789,292,0.000894,5144,none,executive,1,1,1
grow-t20,grow,0,2,11,11,cffb0ad4-c850-480a-b239-a12719b8f02b,85,0,12,0,1039,4830,269,0.000886,4813,none,executive,1,1,1
grow-t20,grow,0,2,12,12,cffb0ad4-c850-480a-b239-a12719b8f02b,88,0,12,0,1268,4866,281,0.000898,5839,none,executive,1,1,1
grow-t20,grow,0,2,13,13,cffb0ad4-c850-480a-b239-a12719b8f02b,102,0,12,0,1402,4662,275,0.000864,4602,none,executive,1,1,1
grow-t20,grow,0,2,14,14,cffb0ad4-c850-480a-b239-a12719b8f02b,99,0,12,0,1557,4703,273,0.000869,4677,none,executive,1,1,1
grow-t20,grow,0,2,15,15,cffb0ad4-c850-480a-b239-a12719b8f02b,69,0,12,0,1694,4768,107,0.000779,3135,none,executive,1,1,1
grow-t20,grow,0,2,16,16,cffb0ad4-c850-480a-b239-a12719b8f02b,59,0,12,2,1694,4631,276,0.00086,5644,none,executive,1,1,1
grow-t20,grow,0,2,17,17,cffb0ad4-c850-480a-b239-a12719b8f02b,66,0,12,2,1902,4990,278,0.000915,5390,none,executive,1,1,1
grow-t20,grow,0,2,18,18,cffb0ad4-c850-480a-b239-a12719b8f02b,86,0,12,2,2078,5055,263,0.000916,4910,none,executive,1,1,1
grow-t20,grow,0,2,19,19,cffb0ad4-c850-480a-b239-a12719b8f02b,85,0,12,2,1847,5110,263,0.000924,10525,none,executive,1,1,1
grow-t20,grow,0,2,20,20,cffb0ad4-c850-480a-b239-a12719b8f02b,92,0,12,2,1858,5103,274,0.00093,4492,none,executive,1,1,1
grow-t20,grow,0,3,1,1,cd25572d-2b77-452f-87e9-5e1571030fbd,152,0,2,0,0,2180,292,0.000502,4569,none,default,1,1,0
grow-t20,grow,0,3,2,2,cd25572d-2b77-452f-87e9-5e1571030fbd,112,0,4,0,0,2573,285,0.000557,5042,none,default,1,1,1
grow-t20,grow,0,3,3,3,cd25572d-2b77-452f-87e9-5e1571030fbd,111,0,6,0,0,2948,291,0.000617,4001,none,default,1,1,1
grow-t20,grow,0,3,4,4,cd25572d-2b77-452f-87e9-5e1571030fbd,129,0,8,0,0,3328,302,0.00068,4370,none,default,1,1,1
grow-t20,grow,0,3,5,5,cd25572d-2b77-452f-87e9-5e1571030fbd,99,0,10,0,0,3717,282,0.000727,4507,none,default,1,1,1
grow-t20,grow,0,3,6,6,cd25572d-2b77-452f-87e9-5e1571030fbd,128,0,12,0,0,4086,302,0.000794,5411,none,default,1,1,1
grow-t20,grow,0,3,7,7,cd25572d-2b77-452f-87e9-5e1571030fbd,90,0,12,0,518,4473,287,0.000843,5088,none,default,1,1,1
grow-t20,grow,0,3,8,8,cd25572d-2b77-452f-87e9-5e1571030fbd,87,0,12,0,928,4595,284,0.00086,4671,none,default,1,1,1
grow-t20,grow,0,3,9,9,cd25572d-2b77-452f-87e9-5e1571030fbd,90,0,12,0,1042,4675,295,0.000878,5224,none,default,1,1,1
grow-t20,grow,0,3,10,10,cd25572d-2b77-452f-87e9-5e1571030fbd,104,0,12,0,1100,4816,292,0.000898,4499,none,executive,1,1,1
grow-t20,grow,0,3,11,11,cd25572d-2b77-452f-87e9-5e1571030fbd,85,0,12,0,1324,4833,274,0.000889,5416,none,executive,1,1,1
grow-t20,grow,0,3,12,12,cd25572d-2b77-452f-87e9-5e1571030fbd,88,0,12,0,1570,4881,291,0.000907,4504,none,executive,1,1,1
grow-t20,grow,0,3,13,13,cd25572d-2b77-452f-87e9-5e1571030fbd,102,0,12,0,1802,4935,290,0.000914,5224,none,executive,1,1,1
grow-t20,grow,0,3,14,14,cd25572d-2b77-452f-87e9-5e1571030fbd,99,0,12,0,2058,5003,302,0.000932,4740,none,executive,1,1,1
grow-t20,grow,0,3,15,15,cd25572d-2b77-452f-87e9-5e1571030fbd,69,0,12,0,2294,11196,596,0.002037,11469,none,executive,1,1,1
grow-t20,grow,0,3,16,16,cd25572d-2b77-452f-87e9-5e1571030fbd,59,0,12,2,2294,11302,582,0.002044,9525,none,executive,1,1,1
grow-t20,grow,0,3,17,17,cd25572d-2b77-452f-87e9-5e1571030fbd,66,0,12,2,2482,5490,290,0.000997,5326,none,executive,1,1,1
grow-t20,grow,0,3,18,18,cd25572d-2b77-452f-87e9-5e1571030fbd,86,0,12,2,2728,12130,588,0.002172,10431,none,executive,1,1,1
grow-t20,grow,0,3,19,19,cd25572d-2b77-452f-87e9-5e1571030fbd,85,0,12,2,3023,12265,586,0.002191,12908,none,executive,1,1,1
grow-t20,grow,0,3,20,20,cd25572d-2b77-452f-87e9-5e1571030fbd,92,0,12,2,3298,5253,298,0.000967,6465,none,default,1,1,1
grow-t20,grow,5,1,1,1,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5308,5096,2,0,0,3217,289,0.000656,4346,none,default,1,1,0
grow-t20,grow,5,1,2,2,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5268,5096,4,0,0,4633,307,0.000879,4784,none,default,1,1,1
grow-t20,grow,5,1,3,3,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5267,5096,6,0,0,6055,305,0.001091,4846,none,default,1,1,1
grow-t20,grow,5,1,4,4,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5285,5096,8,0,0,7500,326,0.001321,17612,none,default,1,1,1
grow-t20,grow,5,1,5,5,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5255,5096,10,0,0,8949,307,0.001527,5736,none,default,1,1,1
grow-t20,grow,5,1,6,6,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5284,5096,12,0,0,10387,313,0.001746,14193,none,default,1,1,1
grow-t20,grow,5,1,7,7,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5246,5096,12,0,807,11836,288,0.001948,14574,none,default,1,1,1
grow-t20,grow,5,1,8,8,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5243,5096,12,0,921,12027,289,0.001977,4699,none,default,1,1,1
grow-t20,grow,5,1,9,9,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5246,5096,12,0,991,12063,300,0.001989,5155,none,default,1,1,1
grow-t20,grow,5,1,10,10,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5260,5096,12,0,1158,12201,305,0.002013,4491,none,executive,1,1,1
grow-t20,grow,5,1,11,11,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5241,5096,12,0,1277,12236,283,0.002005,12195,none,executive,1,1,1
grow-t20,grow,5,1,12,12,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5244,5096,12,0,1506,12278,289,0.002015,15876,none,executive,1,1,1
grow-t20,grow,5,1,13,13,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5258,5096,12,0,1714,11951,296,0.00197,17531,none,default,1,1,1
grow-t20,grow,5,1,14,14,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5255,5096,12,0,1881,12030,307,0.001989,6577,none,default,1,1,1
